id,angle,length,no_rotated,90_rotated,time
48,1,342288.91257539566,342719.4499999962,343891.58616831055,44534.83490205423
49,0,342067.04999999603,342067.04999999603,346498.3611683105,49853.778123675744
50,1,342763.11800374254,343106.2249999963,345421.6361683105,54377.623876370184
51,45,330004.48308951914,330745.1499999928,330371.41116830835,7141.516507156149
52,45,388262.7584829999,388574.8499999903,389900.9431440271,6445.327364908806
53,0,385620.8143465096,385620.8143465096,394275.35911366245,72168.20336868337
54,1,353891.0513398584,353904.4124999962,362336.1499999956,52340.0873153978
55,1,356670.578829421,356713.1999999961,366088.12499999587,78293.49508706687
56,50,355784.5024437666,357702.0249999956,361744.3249999955,69621.21689363726
57,0,352077.0999999956,352077.0999999956,363476.81249999587,42806.30279462245
58,87,348180.6630462132,348981.8499999958,349737.59999999584,67607.48762328947
59,1,355898.5180308863,355910.23749999626,362507.6874999952,59797.105327860336
60,179,355994.9882834045,356619.96249999566,358420.5124999955,54125.84559446375
61,1,356134.1985942761,356149.4124999959,358231.9249999958,57617.26654498477
62,179,354373.5366920642,356116.1999999962,357126.66249999567,45619.43012680807
63,179,342069.24275924807,342988.09999999264,345655.8999999944,8150.173492160378
64,179,350392.92914991244,351640.96872964577,354875.1601539155,6532.776273934364
65,3,239489.38192743386,241350.07551482742,255904.20447052232,62356.93659731357
66,45,333773.4972867208,334675.64999999653,336482.16116831056,51808.800017980066
67,45,340734.4128382865,341603.54999999603,344922.2361683108,53942.13058395327
68,2,340145.3208757907,342003.524999996,346064.0111683103,49314.20733544209
69,0,341384.57499999605,341384.57499999605,342998.91116831056,37893.109314334004
70,90,341322.8361683105,345088.97499999567,341322.8361683105,45627.9068169892
71,45,332573.1579356696,335389.7499999965,337353.0611683101,58332.11824468317
72,0,342489.7249999961,342489.7249999961,348030.81116831064,43111.12427404842
73,0,345018.79999999626,345018.79999999626,346315.6111683103,59039.659109919776
74,0,345788.7749999961,345788.7749999961,351114.4111683107,66564.16127638925
75,0,343246.69999999634,343246.69999999634,343819.31116831064,47541.61854941324
76,179,356958.4274041519,361347.83346581005,364620.4154189517,13557.56527492455
77,90,110577.43268965471,119459.31129662986,110577.43268965471,4265.315002353281
78,0,211017.2111683132,211017.2111683132,212330.35467941573,43592.232555240094
79,135,332884.7003750131,338506.49999999587,334284.66116831027,51071.05041796312
80,90,340542.7111683102,343798.92499999626,340542.7111683102,47687.578432215654
81,0,344785.549999996,344785.549999996,345212.58616831055,51015.50556463435
82,90,343521.8361683106,346896.9249999963,343521.8361683106,51324.706815151774
83,90,342000.61116831057,345093.77499999607,342000.61116831057,65955.19464306743
84,135,335075.81676089106,339325.84999999637,340825.7611683104,50842.2973931953
85,90,342672.48616831034,348094.27499999624,342672.48616831034,55696.92930368707
86,90,343796.5361683107,344327.4749999963,343796.5361683107,48361.72355378137
87,1,343077.91264123865,343458.2999999964,348570.3861683108,51447.34743410193
88,0,388953.9446732525,388953.9446732525,390697.24372964853,63633.97866997883
89,135,219654.83396307152,224690.43934651354,230585.71663293173,37471.96546248673
90,135,333615.2784080524,337442.44999999565,334960.0611683099,58263.811313234066
91,90,344121.1611683104,348398.2999999962,344121.1611683104,81255.79049480913
92,90,345090.81116831064,347818.94999999634,345090.81116831064,61390.71886297915
93,0,345389.8999999959,345389.8999999959,346336.73616831034,61535.34501459855
94,90,345894.1861683102,347410.47499999596,345894.1861683102,51178.487244031945
95,45,336880.7404296667,340541.8999999962,340203.1611683109,69084.72794731222
96,90,343802.51116831065,345892.69999999576,343802.51116831065,74162.06423616158
97,0,343842.5499999966,343842.5499999966,344425.8611683104,51005.146269695375
98,90,345925.2361683104,346640.9249999963,345925.2361683104,53946.050169830814
99,90,399507.26116831007,402213.4628880772,399507.26116831007,59768.65655651449
100,179,374267.5283355735,377859.71168313944,378018.69489389536,54488.40436667862
101,179,343616.28876412613,350608.399999996,348280.5249999956,42578.97027257692
102,179,359872.6621344282,361978.137499996,361180.07499999576,90014.85561151904
103,1,356793.87766954873,356834.36249999586,363677.9999999962,59899.964211952596
104,1,354674.43137147254,354696.06249999633,363539.34999999544,51599.32703711334
105,1,358011.59032591153,358054.01249999634,360448.38749999594,70881.25895824863
106,0,349358.72499999567,349358.72499999567,349622.9749999959,62070.404294328946
107,0,355652.0124999954,355652.0124999954,357340.13749999576,51448.38261941431
108,0,353841.01249999553,353841.01249999553,364163.4499999962,61446.88793433156
109,0,353156.33749999595,353156.33749999595,366106.3374999957,54655.22287831747
110,179,395271.07854489854,396007.6240563912,400096.73007440625,55799.77404101727
111,0,201592.80369302878,201592.80369302878,205087.58644215736,28321.525439162306
112,90,342886.76116831054,345502.1249999965,342886.76116831054,51760.846492055054
113,45,334605.5003419113,335393.7499999959,337043.7111683108,56660.365817905185
114,2,343549.4491220882,345435.6499999967,348845.51116831094,63950.24659956354
115,0,343164.97499999637,343164.97499999637,348421.3611683106,47889.942470639755
116,2,344717.52229324495,345792.1249999965,344810.3111683106,58582.64391487623
117,1,343306.87891657767,345166.4999999959,346316.8361683099,68807.82196811617
118,45,333419.28679681715,336266.39999999595,335032.71116831026,66073.37143399552
119,90,341247.6111683105,342260.7999999959,341247.6111683105,32076.761843184195
120,0,345100.8999999965,345100.8999999965,347196.53616831044,48428.55812947143
121,0,344175.37499999657,344175.37499999657,347230.2611683102,54188.21751831767
122,2,373925.20591623883,376566.2499999957,380618.16116831027,59759.17256355135
123,3,304310.00358794385,305644.1889177346,320174.67536547454,31248.16405472493
124,0,340573.49999999563,340573.49999999563,346252.9361683095,50222.128268934815
125,2,334570.7670346488,335963.74999999633,338483.8111683103,58462.47529706466
126,1,345366.25406870403,346064.22499999584,345880.83616831055,71888.12978079286
127,1,343859.5798547166,344602.94999999605,347641.46116831026,61493.58465226569
128,0,341808.62499999604,341808.62499999604,347347.386168311,55668.559939298204
129,90,344875.71116831014,345285.8749999963,344875.71116831014,62461.16972061528
130,135,333821.8478502803,339203.7999999965,337035.66116831056,58224.54186893513
131,0,344553.9249999963,344553.9249999963,345519.88616831024,48813.94896234693
132,90,343521.9361683107,346202.22499999625,343521.9361683107,47641.718726218576
133,1,344986.21407798294,345793.84999999614,347387.06116831093,45786.891574384645
134,1,357848.3484727997,358811.4378880784,359772.38831509964,47701.63812737322
135,0,406926.0893465073,406926.0893465073,411971.1160662748,43802.6682293071
136,2,334210.0218533994,335189.44999999646,337964.06116831047,55902.765584486224
137,0,342518.3999999961,342518.3999999961,349151.3861683107,69393.96099255802
138,0,343983.39999999607,343983.39999999607,346678.33616831043,56603.766530680565
139,1,343329.3963090831,345219.04999999603,346586.5361683102,48722.62275790326
140,0,344617.8749999962,344617.8749999962,344716.9611683104,50477.51547857999
141,45,334185.6573588861,337525.24999999645,335623.0111683102,51565.683880507706
142,1,340998.7727303527,342501.44999999646,350050.21116831084,48190.1108736852
143,0,341162.2249999961,341162.2249999961,350500.93616831064,50685.4431652022
144,0,342639.94999999634,342639.94999999634,348584.76116831054,54724.24591063862
145,45,337882.00261184335,339971.41288807796,342889.454757721,47951.058261278085
146,45,401052.5875513607,406771.1252861265,406022.13745929964,68427.9519317658
147,90,380765.71168313804,395284.1136642403,380765.71168313804,85872.65127651428
148,0,352121.6374999961,352121.6374999961,364290.97499999584,45079.280608764166
149,0,351998.66249999567,351998.66249999567,368039.3999999959,55517.180316739286
150,0,356417.7499999958,356417.7499999958,362523.68749999587,61626.73305004298
151,179,357000.75355879765,357295.0499999957,360998.87499999587,60088.5728267864
152,0,348680.2249999959,348680.2249999959,351244.14999999583,56769.587750302206
153,0,354401.93749999587,354401.93749999587,358921.1374999957,44348.250924753695
154,0,354667.6874999959,354667.6874999959,360414.6374999958,49348.32536082189
155,0,354393.28749999584,354393.28749999584,360610.3749999958,52000.453978217854
156,0,332905.59999999625,332905.59999999625,336508.92975772114,42196.67185995171
157,135,343993.85748231335,348901.6160662787,350117.9825613349,55342.35840418785
158,0,341875.82499999594,341875.82499999594,349992.1861683105,47721.23048362021
159,0,340893.0249999958,340893.0249999958,349994.33616831084,51608.211733181925
160,0,340631.74999999575,340631.74999999575,347136.0861683107,53786.371722460164
161,2,334838.54777602904,335945.99999999645,337568.71116831084,47472.10594549848
162,1,344648.6689814129,345119.7999999963,346925.33616831055,50355.40355984141
163,1,343994.4641758677,344219.47499999614,348533.76116831036,49241.29364315963
164,2,343397.76806805586,343761.69999999617,347602.9361683108,55420.6957489666
165,0,337287.8510296545,337287.8510296545,344668.3433239829,49747.23863049253
166,45,231062.67018681156,234718.29065588163,250698.34429630305,47074.380277482254
167,1,342845.552864347,343122.92499999644,344290.6611683104,40260.36307183916
168,2,341522.76450147654,342985.02499999583,346078.1361683106,49087.9223051823
169,1,342373.62060388643,342682.0499999957,344385.3111683105,44245.72435023869
170,2,334129.1653744559,335227.69999999634,338196.7611683107,46802.439258267834
171,0,342725.4999999959,342725.4999999959,347656.81116831023,44547.407277537895
172,0,343487.62499999604,343487.62499999604,345812.8361683107,45162.380887046784
173,179,387948.1518452253,391253.58840290684,393219.0341136621,67169.82761815425
174,178,166162.1747916732,169849.62946919329,184910.1365813827,26872.77494751738
175,0,341169.47499999555,341169.47499999555,344764.0361683103,36309.74818646381
176,0,344865.8499999961,344865.8499999961,346073.4611683105,59845.647176818704
177,1,342511.070445728,342587.5499999962,344146.46116831043,36991.19591465239
178,92,314826.082302785,325385.411334014,315821.79200988286,39226.27845886246
179,179,316608.33977485757,321620.25649074774,317685.022336625,41626.79639666882
180,90,342127.8973366243,342463.349999996,342127.8973366243,59644.88129316064
181,2,234501.67276491685,236699.29777791156,237971.7951880853,40798.388619289566
182,0,392461.3298979638,392461.3298979638,398624.9645370567,54515.864368532835
183,88,439230.70552711934,465868.1550857519,439855.633853894,66741.44525826024
184,0,377366.83681197744,377366.83681197744,405615.3213222316,57650.79358035698
185,90,349798.32402992924,387298.1744949308,349798.32402992924,97526.00021014403
186,17,204829.69029275977,209070.87715507686,250052.40756970324,35803.000489397986
