,,,,,,,,,∑Áœ’µ»º∂,id
112.913735,24.755817,636.8125,61.886125,8.1428125,0.669945089,0.185632593,0.317781977,0.391119886,0,94
112.926572,24.755817,648.89375,65.52225,7.5921875,0.804302495,0.583588705,0.202971265,0.530287488,1,95
112.939409,24.755817,655.159375,66.761,7.3678125,0.873983457,0.719163839,0.156186877,0.583111391,1,96
112.952246,24.755817,642.7125,65.065875,8.1559375,0.73555988,0.533640692,0.320518668,0.529906413,1,97
112.965083,24.755817,629.875,66.44975,8.688125,0.592792104,0.685099048,0.431484981,0.569792044,1,98
112.97792,24.755817,614.575,68.125375,9.301875,0.422638493,0.868488016,0.559457875,0.616861461,1,99
112.84955,24.764287,577.546875,66.98175,11.18125,0.010843122,0.743323848,0.951325992,0.568497654,1,100
112.862387,24.764287,582.8125,65.313,10.7840625,0.069402933,0.560687315,0.868508503,0.499532917,0,101
112.875224,24.764287,590.03125,62.62925,10.249375,0.149683742,0.266963993,0.757020916,0.391222884,0,102
112.888061,24.764287,601.0625,61.017375,9.7678125,0.27236394,0.090552151,0.656610412,0.339842168,0,103
112.900898,24.764287,616.5375,62.51025,9.098125,0.444463752,0.253940024,0.516974001,0.405125926,0,104
112.913735,24.764287,630.86875,61.38475,8.459375,0.603843748,0.130759549,0.383788363,0.37279722,0,105
112.926572,24.764287,645.81875,62.9755,7.744375,0.770104956,0.304859363,0.234703851,0.436556057,0,106
112.939409,24.764287,657.4625,66.17775,7.2234375,0.899596858,0.655329977,0.126083274,0.560336703,1,107
112.952246,24.764287,652.953125,64.807,7.6996875,0.849447418,0.505308088,0.225386069,0.526713858,0,108
112.965083,24.764287,641.68125,67.323375,8.2121875,0.724091193,0.780713035,0.332247345,0.612350524,1,109
112.97792,24.764287,623.953125,65.650375,9.004375,0.526934038,0.59761136,0.497426207,0.540657202,1,110
112.836713,24.772757,577.184375,60.793875,11.4146875,0.006811705,0.066091168,1,0.357634291,0,111
112.84955,24.772757,581.021875,65.27275,11.056875,0.049489122,0.55628215,0.925392585,0.510387952,0,112
112.862387,24.772757,592.225,64.0235,10.4934375,0.174080767,0.419557842,0.807910341,0.467182983,0,113
112.875224,24.772757,601.88125,61.76375,9.911875,0.281469382,0.172239247,0.686648856,0.380119162,0,114
112.888061,24.772757,602.43125,61.117875,9.799375,0.287586015,0.101551384,0.663191503,0.350776301,0,115
112.900898,24.772757,609.659375,60.542125,9.386875,0.367971085,0.038538361,0.577181208,0.327896885,0,116
112.913735,24.772757,624.528125,61.614875,8.7496875,0.5333287,0.155945606,0.444321366,0.377865224,0,117
112.926572,24.772757,638.4,62.570625,8.173125,0.687599917,0.260547773,0.32410243,0.424083373,0,118
112.939409,24.772757,652.584375,63.418125,7.4940625,0.845346493,0.353302506,0.18251124,0.460386747,0,119
112.952246,24.772757,655.98125,64.979375,7.485625,0.883123653,0.524173689,0.180751938,0.52934976,0,120
112.965083,24.772757,640.7125,65.4565,8.33125,0.713317578,0.576392689,0.357073044,0.54892777,1,121
112.97792,24.772757,627.303125,63.63875,8.8825,0.564189894,0.377448834,0.472014074,0.471217601,0,122
112.836713,24.781227,578.090625,61.49025,11.3921875,0.016890248,0.142306009,0.995308529,0.384834929,0,123
112.84955,24.781227,583.65,63.386625,10.865,0.078716897,0.349854985,0.885384766,0.437985549,0,124
112.862387,24.781227,599.59375,62.24775,10.1271875,0.256029749,0.225210682,0.731543624,0.404261352,0,125
112.875224,24.781227,619.675,62.066,9.2765625,0.479356363,0.205319033,0.55417997,0.412951789,0,126
