Row,Column
93,152
93,295
93,296
94,152
94,297
95,151
95,298
96,150
96,299
97,150
97,300
97,301
98,149
98,302
98,393
98,394
98,395
98,396
98,397
98,398
98,399
98,400
98,401
98,402
98,403
98,404
98,405
98,406
98,407
98,408
98,409
98,410
98,411
98,412
98,413
98,414
98,415
98,416
98,417
98,418
98,419
98,420
99,148
99,303
99,372
99,373
99,374
99,375
99,376
99,377
99,378
99,379
99,380
99,381
99,382
99,383
99,384
99,385
99,386
99,387
99,388
99,389
99,390
99,391
99,392
99,421
99,422
99,423
99,424
99,425
99,426
100,148
100,304
100,305
100,354
100,355
100,356
100,357
100,358
100,359
100,360
100,361
100,362
100,363
100,364
100,365
100,366
100,367
100,368
100,369
100,370
100,371
100,427
100,428
100,429
100,430
100,431
101,147
101,306
101,332
101,333
101,334
101,335
101,336
101,337
101,338
101,339
101,340
101,341
101,342
101,343
101,344
101,345
101,346
101,347
101,348
101,349
101,350
101,351
101,352
101,353
101,432
101,433
102,146
102,307
102,308
102,309
102,310
102,311
102,312
102,313
102,314
102,315
102,316
102,317
102,318
102,319
102,320
102,321
102,322
102,323
102,324
102,325
102,326
102,327
102,328
102,329
102,330
102,331
102,434
103,145
103,435
103,436
104,145
104,437
104,438
105,144
105,439
105,440
106,143
106,441
107,142
107,442
107,443
108,141
108,444
108,445
109,140
109,446
109,447
110,140
110,448
111,141
111,449
111,450
112,141
112,451
112,452
113,142
113,453
113,454
114,143
114,144
114,145
114,455
114,456
115,146
115,147
115,457
116,148
116,149
116,458
116,459
117,150
117,151
117,459
118,152
118,460
119,152
119,461
120,151
120,462
121,151
121,463
122,151
122,463
123,150
123,464
124,150
124,465
125,150
125,466
126,150
126,466
127,144
127,145
127,146
127,147
127,148
127,149
127,467
128,135
128,136
128,137
128,138
128,139
128,140
128,141
128,142
128,143
128,468
129,134
129,469
130,134
130,470
131,133
131,470
132,133
132,471
133,134
133,472
134,135
134,136
134,473
135,137
135,473
136,137
136,474
137,137
137,475
138,137
138,476
139,138
139,477
140,138
140,477
141,138
141,478
142,138
142,479
143,138
143,480
144,139
144,480
145,136
145,137
145,138
145,481
146,132
146,133
146,134
146,135
146,482
147,128
147,129
147,130
147,131
147,483
148,126
148,127
148,484
149,125
149,484
150,124
150,485
151,123
151,486
152,122
152,487
153,121
153,487
154,120
154,488
155,119
155,489
156,117
156,118
156,490
157,116
157,491
158,115
158,491
159,115
159,492
160,116
160,493
161,117
161,494
162,118
162,494
163,119
163,495
164,119
164,496
165,120
165,497
166,121
166,498
167,122
167,498
168,121
168,499
169,121
169,500
170,121
170,501
171,121
171,501
172,121
172,501
173,69
173,70
173,71
173,72
173,121
173,501
174,67
174,68
174,73
174,74
174,121
174,501
175,66
175,75
175,76
175,77
175,89
175,90
175,91
175,92
175,121
175,501
176,65
176,78
176,79
176,84
176,85
176,86
176,87
176,88
176,93
176,94
176,121
176,501
177,63
177,64
177,80
177,81
177,82
177,83
177,95
177,96
177,121
177,501
178,62
178,97
178,98
178,121
178,502
179,60
179,61
179,99
179,100
179,121
179,502
180,58
180,59
180,101
180,102
180,119
180,120
180,502
181,56
181,57
181,103
181,104
181,117
181,118
181,502
182,54
182,55
182,105
182,106
182,114
182,115
182,116
182,502
183,52
183,53
183,107
183,108
183,111
183,112
183,113
183,502
184,50
184,51
184,109
184,110
184,502
185,48
185,49
185,502
186,46
186,47
186,502
187,44
187,45
187,502
188,43
188,502
189,41
189,42
189,502
190,40
190,503
191,38
191,39
191,503
192,36
192,37
192,503
193,35
193,503
194,33
194,34
194,503
195,31
195,32
195,503
196,30
196,503
197,30
197,503
198,29
198,503
199,28
199,503
200,28
200,503
201,27
201,503
202,27
202,504
203,26
203,504
204,26
204,504
205,25
205,504
206,25
206,504
207,24
207,504
208,24
208,504
209,23
209,504
210,23
210,504
211,22
211,504
212,22
212,504
213,21
213,504
214,21
214,505
215,20
215,505
216,20
216,505
217,19
217,505
218,19
218,505
219,18
219,505
220,18
220,505
221,18
221,505
222,17
222,505
223,17
223,505
224,17
224,505
225,17
225,505
226,16
226,506
227,16
227,506
228,16
228,506
229,16
229,506
230,15
230,506
231,15
231,506
232,15
232,506
233,14
233,506
234,14
234,506
235,14
235,506
236,14
236,506
237,13
237,507
238,13
238,507
239,13
239,507
240,13
240,507
241,12
241,507
242,11
242,507
243,10
243,507
244,9
244,507
245,8
245,507
246,6
246,7
246,507
247,5
247,507
248,5
248,507
249,4
249,508
250,4
250,508
251,4
251,508
252,4
252,508
253,3
253,508
254,3
254,508
255,3
255,508
256,2
256,508
257,2
257,508
258,2
258,508
259,1
259,508
260,1
260,508
261,1
261,508
262,1
262,508
263,1
263,508
264,2
264,508
265,2
265,508
266,3
266,509
267,4
267,509
268,4
268,509
269,5
269,509
270,6
270,509
271,6
271,509
272,7
272,509
273,7
273,509
274,8
274,509
275,9
275,509
276,9
276,509
277,10
277,509
278,11
278,509
279,11
279,509
280,12
280,509
281,12
281,509
282,13
282,509
283,13
283,509
284,14
284,509
285,15
285,510
286,15
286,510
287,16
287,510
288,16
288,510
289,17
289,510
290,17
290,510
291,18
291,510
292,18
292,510
293,19
293,510
294,20
294,510
295,20
295,510
296,21
296,510
297,21
297,510
298,22
298,510
299,22
299,510
300,23
300,510
301,23
301,510
302,24
302,510
303,25
303,510
304,25
304,510
305,26
305,511
306,27
306,511
307,27
307,511
308,28
308,511
309,29
309,511
310,30
310,511
311,30
311,511
312,31
312,511
313,32
313,511
314,32
314,511
315,33
315,511
316,34
316,511
317,34
317,511
318,35
318,511
319,36
319,511
320,37
320,511
321,37
321,511
322,38
322,511
323,39
323,512
324,40
324,512
325,41
325,512
326,42
326,512
327,42
327,512
328,43
328,512
329,44
329,512
330,45
330,512
331,46
331,512
332,47
332,512
333,48
333,512
334,49
334,512
335,50
335,512
336,51
336,512
337,52
337,512
338,53
338,512
339,54
339,513
