,,,,,,,,,∑Áœ’µ»º∂,id
112.97792,24.713467,3067.988636,39.76772727,20.98465909,0.418995009,0.437645522,0.604466002,0.487035511,0,37
112.990757,24.713467,3060.465909,40.15454545,21.16875,0.404875656,0.485973082,0.634117324,0.508322021,0,38
113.003594,24.713467,3052.295455,40.16931818,21.33806818,0.389540588,0.487818729,0.661389219,0.512916179,0,39
112.84955,24.721937,3055,40.165,20.85170455,0.39461673,0.487279232,0.583051158,0.488315707,0,40
112.862387,24.721937,3135.732955,39.82818182,20.05227273,0.546143838,0.445198478,0.454287545,0.48187662,0,41
112.875224,24.721937,3286.215909,40.2,18.33125,0.828584226,0.491651996,0.177084287,0.499106836,0,42
112.888061,24.721937,3348.0625,40.13931818,17.56420455,0.944663652,0.484070646,0.05353711,0.494090469,0,43
112.900898,24.721937,3351.971591,38.73636364,17.49204545,0.952000597,0.308790959,0.041914524,0.43423536,0,44
112.913735,24.721937,3302.522727,37.36863636,18.07784091,0.859190377,0.137912431,0.13626796,0.377790256,0,45
112.926572,24.721937,3284.153409,39.91409091,18.37897727,0.824713134,0.455931626,0.184771667,0.488472142,0,46
112.939409,24.721937,3258.897727,40.24659091,18.72386364,0.777310924,0.497472883,0.240322138,0.505035315,0,47
112.952246,24.721937,3188.323864,39.84545455,19.53977273,0.644851342,0.447356465,0.371739727,0.487982511,0,48
112.965083,24.721937,3141.926136,40.56704545,20.17897727,0.557767777,0.537509228,0.474695708,0.523324238,0,49
112.97792,24.721937,3087.676136,40.72886364,20.84034091,0.455946338,0.557726163,0.581220829,0.53163111,0,50
112.990757,24.721937,3090.482955,41.35522727,20.95852273,0.461214435,0.6359816,0.600256246,0.565817427,1,51
113.003594,24.721937,3066.221591,40.43431818,21.23806818,0.415678454,0.520926799,0.645282328,0.52729586,0,52
112.862387,24.730407,3119.079545,41.15159091,20.10284091,0.514887173,0.610540065,0.462432507,0.529286582,0,53
112.875224,24.730407,3256.607955,40.62977273,18.6125,0.773013266,0.54534613,0.222384918,0.513581438,0,54
112.888061,24.730407,3287.346591,40.45772727,18.19261364,0.830706394,0.52385144,0.154754278,0.503104037,0,55
112.900898,24.730407,3300.306818,40.07931818,18.02840909,0.855031353,0.476574479,0.128306031,0.486637288,0,56
112.913735,24.730407,3257.386364,40.58886364,18.58068182,0.774474257,0.540235107,0.217259998,0.510656454,0,57
112.926572,24.730407,3297.613636,39.6975,18.23295455,0.849976539,0.4288716,0.161251945,0.480033361,0,58
112.939409,24.730407,3251.664773,40.87409091,18.83011364,0.763735443,0.575870294,0.25743571,0.532347149,0,59
112.952246,24.730407,3200.903409,40.55772727,19.48125,0.668461801,0.536345051,0.362313535,0.522373462,0,60
112.965083,24.730407,3134.0625,40.92840909,20.25568182,0.543008574,0.582656596,0.487050426,0.537571865,1,61
112.97792,24.730407,3104.386364,41.91090909,20.68125,0.487309645,0.705406326,0.55559623,0.582770734,1,62
112.990757,24.730407,3089.517045,42.10340909,20.98409091,0.459401527,0.729456528,0.604374485,0.59774418,1,63
113.003594,24.730407,3061.920455,41.41090909,21.30227273,0.407605682,0.64293827,0.655623684,0.568722546,1,64
112.84955,24.738877,3008.670455,41.17204545,21.33068182,0.307661136,0.613095576,0.660199506,0.526985406,0,65
112.862387,24.738877,3070.789773,42.01704545,20.58181818,0.424252442,0.718666591,0.539580855,0.560833296,1,66
112.875224,24.738877,3165,41.58431818,19.52443182,0.601074948,0.664603328,0.369268784,0.544982353,1,67
112.888061,24.738877,3180.215909,41.98431818,19.28352273,0.629633579,0.714577773,0.330465819,0.558225724,1,68
112.900898,24.738877,3166.75,41.42954545,19.41136364,0.60435951,0.645266625,0.351057015,0.53356105,1,69
112.913735,24.738877,3203.318182,41.91568182,19.15965909,0.672994071,0.706002612,0.310515237,0.56317064,1,70
112.926572,24.738877,3274.181818,40.82409091,18.54829545,0.805997526,0.569623488,0.212043562,0.529221525,0,71
112.939409,24.738877,3275.642045,40.15318182,18.61875,0.808738216,0.485802715,0.223391599,0.50597751,0,72
112.952246,24.738877,3212.363636,41.805,19.40909091,0.68997142,0.692174456,0.350690949,0.577612275,1,73
112.965083,24.738877,3140.784091,41.70386364,20.20568182,0.55562428,0.679538872,0.47899698,0.571386711,1,74
112.97792,24.738877,3088.073864,41.79181818,20.83295455,0.456692829,0.690527571,0.580031116,0.575750505,1,75
112.990757,24.738877,3070.119318,41.50181818,21.17045455,0.422994071,0.654296099,0.634391873,0.570560681,1,76
113.003594,24.738877,3058.426136,41.86477273,21.31590909,0.401047221,0.699642228,0.657820079,0.586169843,1,77
112.84955,24.747347,2964.505682,42.31159091,21.91590909,0.224768588,0.755465955,0.754461426,0.578231989,1,78
112.862387,24.747347,3005.227273,42.41681818,21.29147727,0.301198652,0.768612641,0.653884872,0.574565389,1,79
112.875224,24.747347,3040.767045,42.26181818,20.78863636,0.367902999,0.749247544,0.572892834,0.563347792,1,80
112.888061,24.747347,3084.653409,41.7775,20.25397727,0.450273003,0.688738713,0.486775876,0.541929197,1,81
112.900898,24.747347,3123.75,42.49727273,19.91079545,0.523653116,0.778664319,0.431499954,0.57793913,1,82
112.913735,24.747347,3200.727273,41.87886364,19.23636364,0.668131212,0.701402692,0.322869955,0.56413462,1,83
112.926572,24.747347,3260.119318,40.74772727,18.75340909,0.77960372,0.560082912,0.245080992,0.528255875,0,84
112.939409,24.747347,3287.164773,40.61772727,18.51818182,0.830365141,0.543841218,0.207193191,0.527133183,0,85
112.952246,24.747347,3227.193182,41.75113636,19.24715909,0.717804888,0.685444943,0.324608767,0.575952866,1,86
112.965083,24.747347,3147.715909,40.89613636,20.14147727,0.56863456,0.578624567,0.468655624,0.53863825,1,87
112.97792,24.747347,3081.784091,41.21840909,20.89488636,0.4448876,0.618888069,0.590006406,0.551260691,1,88
112.84955,24.755817,2899.846591,40.15863636,22.71647727,0.1034104,0.486484184,0.883408072,0.491100885,0,89
112.862387,24.755817,2920.488636,40.46022727,22.24147727,0.142153308,0.52416378,0.806900339,0.491072476,0,90
112.875224,24.755817,2959.363636,43.17386364,21.63465909,0.215117519,0.863194957,0.709160794,0.595824424,1,91
112.888061,24.755817,3033.795455,41.66636364,20.75625,0.354818069,0.674853768,0.567676398,0.532449412,0,92
112.900898,24.755817,3122.096591,42.42772727,19.92045455,0.520549844,0.769975581,0.433055734,0.574527053,1,93
